snapshot_date,product_id,stock_qty,reorder_point,days_of_stock
2014-01-01,FUR-BO-10001798,10,2.1,100.0
2014-01-01,FUR-CH-10000454,20,5.1,82.4
2014-01-01,OFF-LA-10000240,13,1.1,118.7
2014-01-01,FUR-TA-10000577,10,2.54,82.8
2014-01-01,OFF-ST-10000760,14,1.6,87.5
2014-01-01,FUR-FU-10001487,13,3.22,84.8
2014-01-01,OFF-AR-10002833,12,1.0,120.0
2014-01-01,TEC-PH-10002275,10,1.63,85.7
2014-01-01,OFF-BI-10003910,16,1.46,109.7
2014-01-01,OFF-AP-10002892,15,1.05,143.2
2014-01-01,FUR-TA-10001539,10,2.62,80.0
2014-01-01,TEC-PH-10002033,16,1.63,137.1
2014-01-01,OFF-PA-10002365,12,1.0,120.0
2014-01-01,OFF-BI-10003656,14,1.81,77.4
2014-01-01,OFF-AP-10002311,9,0.96,93.5
2014-01-01,OFF-BI-10000756,17,1.86,91.5
2014-01-01,OFF-ST-10004186,19,1.92,99.1
2014-01-01,OFF-ST-10000107,22,2.0,110.0
2014-01-01,OFF-AR-10003056,13,1.1,118.7
2014-01-01,TEC-PH-10001949,16,1.4,160.0
2014-01-01,OFF-BI-10002215,13,1.11,117.0
2014-01-01,OFF-AR-10000246,17,1.92,88.7
2014-01-01,OFF-AP-10001492,19,1.71,110.8
2014-01-01,FUR-CH-10002774,13,2.22,123.2
2014-01-01,OFF-BI-10001634,14,1.27,110.5
2014-01-01,TEC-AC-10003027,14,2.02,96.9
2014-01-01,FUR-BO-10004834,17,4.2,85.0
2014-01-01,OFF-BI-10000474,18,1.52,118.1
2014-01-01,FUR-FU-10004848,17,2.74,130.5
2014-01-01,OFF-EN-10001509,13,1.07,121.9
2014-01-01,OFF-AR-10004042,12,2.0,60.0
2014-01-01,OFF-BI-10001525,15,1.76,85.1
2014-01-01,OFF-AR-10001683,10,1.27,78.9
2014-01-01,OFF-PA-10000249,13,0.94,137.6
2014-01-01,TEC-PH-10004977,8,2.0,56.0
2014-01-01,FUR-FU-10003664,43,7.7,117.3
2014-01-01,OFF-EN-10002986,13,2.17,60.0
2014-01-01,FUR-BO-10002545,19,3.2,124.7
2014-01-01,FUR-CH-10004218,13,3.06,89.1
2014-01-01,TEC-PH-10000486,32,3.73,120.0
2014-01-01,TEC-PH-10004093,12,1.48,113.7
2014-01-01,OFF-ST-10003479,14,1.39,100.8
2014-01-01,OFF-ST-10003282,13,1.33,97.5
2014-01-01,TEC-AC-10000171,11,0.93,165.0
2014-01-01,OFF-BI-10003291,18,1.59,113.0
2014-01-01,OFF-ST-10001713,13,1.11,117.0
2014-01-01,TEC-AC-10002167,13,1.94,93.6
2014-01-01,TEC-PH-10003988,10,1.63,85.7
2014-01-01,OFF-BI-10004410,15,1.75,85.7
2014-01-01,OFF-LA-10002762,19,2.12,89.4
2014-01-01,FUR-FU-10001706,16,4.1,82.0
2014-01-01,FUR-CH-10003061,12,1.68,150.0
2014-01-01,OFF-FA-10000304,20,1.67,120.0
2014-01-01,TEC-PH-10002447,13,1.24,146.3
2014-01-01,OFF-ST-10000604,10,1.43,70.0
2014-01-01,OFF-PA-10001569,14,1.58,88.4
2014-01-01,FUR-CH-10003968,13,2.57,106.4
2014-01-01,OFF-PA-10000587,14,1.25,112.0
2014-01-01,OFF-BI-10001460,10,1.58,63.2
2014-01-01,OFF-AR-10001868,12,1.0,120.0
2014-01-01,TEC-AC-10004633,14,2.33,84.0
2014-01-01,OFF-BI-10001078,12,2.06,58.4
2014-01-01,OFF-PA-10003892,13,1.33,97.5
2014-01-01,FUR-FU-10000397,10,2.38,88.2
2014-01-01,FUR-CH-10001146,10,2.75,76.5
2014-01-01,OFF-AR-10002671,25,2.67,93.8
2014-01-01,TEC-PH-10002726,16,1.73,129.2
2014-01-01,OFF-PA-10000482,13,1.56,83.6
2014-01-01,OFF-BI-10004654,13,1.33,97.5
2014-01-01,OFF-PA-10004675,10,0.93,107.1
2014-01-01,FUR-CH-10000513,10,3.68,57.1
2014-01-01,FUR-FU-10003708,14,2.8,105.0
2014-01-01,OFF-ST-10004123,14,1.43,98.0
2014-01-01,OFF-BI-10004182,17,2.11,80.5
2014-01-01,FUR-FU-10000260,23,5.25,92.0
2014-01-01,OFF-ST-10000615,14,1.39,100.8
2014-01-01,FUR-FU-10003194,8,3.5,48.0
2014-01-01,OFF-AP-10002118,11,0.78,141.4
2014-01-01,OFF-BI-10002309,10,1.56,64.3
2014-01-01,OFF-AR-10002053,14,1.8,77.8
2014-01-01,OFF-ST-10002370,13,1.33,97.5
2014-01-01,OFF-EN-10000927,14,1.67,84.0
2014-01-01,OFF-ST-10003656,13,1.07,121.9
2014-01-01,FUR-CH-10000863,13,2.5,109.2
2014-01-01,TEC-AC-10001998,12,0.82,205.7
2014-01-01,OFF-LA-10000134,11,0.58,188.6
2014-01-01,OFF-ST-10003442,10,1.62,61.8
2014-01-01,OFF-AR-10004930,13,0.67,195.0
2014-01-01,OFF-PA-10000304,13,1.22,106.4
2014-01-01,OFF-PA-10003177,14,0.81,172.9
2014-01-01,FUR-FU-10003799,13,2.8,97.5
2014-01-01,OFF-BI-10002852,17,1.42,120.0
2014-01-01,OFF-BI-10004738,11,0.72,152.3
2014-01-01,FUR-FU-10000629,21,3.97,111.2
2014-01-01,OFF-BI-10001721,10,1.75,57.1
2014-01-01,OFF-AP-10000358,21,1.83,114.5
2014-01-01,OFF-PA-10003256,10,1.22,81.8
2014-01-01,TEC-AC-10001767,17,1.94,122.4
2014-01-01,OFF-BI-10002609,13,1.14,113.8
2014-01-01,OFF-PA-10004040,24,2.0,120.0
2014-01-01,TEC-AC-10001552,12,2.92,57.6
2014-01-01,FUR-FU-10004006,13,1.98,137.6
2014-01-01,OFF-BI-10002794,12,1.0,120.0
